shoulder_practical_trace   elbow_practical_trace
-23.841        -30.672
-23.913        -30.753
-23.985        -30.852
-24.057        -30.96
-24.147        -31.077
-24.246        -31.203
-24.327        -31.293
-24.408        -31.392
-24.48        -31.473
-24.552        -31.563
-24.624        -31.662
-24.714        -31.779
-24.795        -31.896
-24.867        -31.995
-24.93        -32.076
-25.002        -32.148
-25.083        -32.238
-25.173        -32.337
-25.254        -32.472
-25.344        -32.58
-25.416        -32.661
-25.479        -32.76
-25.542        -32.841
-25.614        -32.94
-25.695        -33.048
-25.767        -33.156
-25.848        -33.264
-25.92        -33.354
-25.992        -33.444
-26.064        -33.516
-26.145        -33.615
-26.226        -33.732
-26.307        -33.84
-26.379        -33.921
-26.442        -33.993
-26.505        -34.065
-26.568        -34.164
-26.649        -34.272
-26.73        -34.38
-26.811        -34.488
-26.874        -34.56
-26.928        -34.632
-26.982        -34.686
-27.054        -34.776
-27.135        -34.884
-27.216        -35.001
-27.288        -35.1
-27.351        -35.172
-27.414        -35.253
-27.477        -35.352
-27.549        -35.46
-27.621        -35.55
-27.693        -35.64
-27.756        -35.685
-27.81        -35.757
-27.873        -35.856
-27.954        -35.964
-28.044        -36.072
-28.125        -36.162
-28.179        -36.216
-28.224        -36.261
-28.269        -36.333
-28.332        -36.432
-28.413        -36.54
-28.494        -36.648
-28.557        -36.72
-28.611        -36.783
-28.656        -36.837
-28.71        -36.918
-28.782        -37.017
-28.863        -37.116
-28.935        -37.197
-28.998        -37.269
-29.052        -37.341
-29.097        -37.413
-29.151        -37.503
-29.214        -37.593
-29.295        -37.674
-29.358        -37.746
-29.412        -37.809
-29.457        -37.872
-29.511        -37.944
-29.574        -38.016
-29.628        -38.097
-29.691        -38.187
-29.754        -38.259
-29.808        -38.34
-29.871        -38.412
-29.934        -38.493
-30.006        -38.565
-30.051        -38.628
-30.096        -38.709
-30.15        -38.799
-30.222        -38.88
-30.285        -38.934
-30.33        -38.988
-30.375        -39.033
-30.42        -39.096
-30.483        -39.168
-30.537        -39.258
-30.609        -39.348
-30.663        -39.411
-30.708        -39.465
-30.753        -39.528
-30.789        -39.6
-30.843        -39.672
-30.906        -39.744
-30.969        -39.816
-31.014        -39.888
-31.059        -39.96
-31.113        -40.032
-31.158        -40.095
-31.212        -40.149
-31.257        -40.212
-31.302        -40.248
-31.347        -40.32
-31.392        -40.383
-31.446        -40.464
-31.509        -40.536
-31.572        -40.608
-31.617        -40.653
-31.653        -40.689
-31.698        -40.725
-31.734        -40.788
-31.77        -40.842
-31.824        -40.932
-31.878        -41.004
-31.932        -41.076
-31.977        -41.121
-32.013        -41.184
-32.049        -41.22
-32.094        -41.256
-32.13        -41.301
-32.175        -41.373
-32.229        -41.445
-32.274        -41.508
