interpolation_sholuder   interpolation_elbow
-6.55835        -8.43216
-6.45008        -8.29296
-6.34189        -8.15386
-6.23374        -8.01481
-6.12561        -7.87578
-6.01745        -7.73672
-5.90924        -7.59759
-5.80094        -7.45835
-5.69253        -7.31896
-5.58396        -7.17937
-5.47521        -7.03955
-5.36639        -6.89965
-5.25764        -6.75982
-5.14892        -6.62004
-5.0402        -6.48026
-4.93148        -6.34047
-4.8227        -6.20062
-4.71386        -6.06068
-4.60493        -5.92062
-4.49587        -5.7804
-4.38666        -5.64
-4.27741        -5.49952
-4.16819        -5.35911
-4.05901        -5.21872
-3.94983        -5.07835
-3.84063        -4.93796
-3.73141        -4.79752
-3.62213        -4.65702
-3.51278        -4.51643
-3.40334        -4.37572
-3.29379        -4.23487
-3.1842        -4.09397
-3.07464        -3.9531
-2.96509        -3.81226
-2.85555        -3.67142
-2.746        -3.53057
-2.63643        -3.38969
-2.52682        -3.24877
-2.41717        -3.10779
-2.30746        -2.96673
-2.19767        -2.82557
-2.08785        -2.68438
-1.97804        -2.5432
-1.86825        -2.40203
-1.75846        -2.26087
-1.64866        -2.1197
-1.53885        -1.97852
-1.42902        -1.83732
-1.31917        -1.69608
-1.20929        -1.55481
-1.09938        -1.41348
-0.989439        -1.25941
-0.879502        -1.08556
-0.769564        -0.900389
-0.659626        -0.712396
-0.549689        -0.530056
-0.439751        -0.361852
-0.329813        -0.216263
-0.219875        -0.101771
-0.109938        -0.0268562
0        0
interpolation_sholuder   interpolation_elbow
0        0
-0.109947        -0.141361
-0.21991        -0.282741
-0.329881        -0.424133
-0.439855        -0.565528
-0.549824        -0.706916
-0.659782        -0.848291
-0.769723        -0.989644
-0.87964        -1.13097
-0.989527        -1.27225
-1.09938        -1.41348
-1.20923        -1.55472
-1.3191        -1.69599
-1.429        -1.83729
-1.5389        -1.97859
-1.64879        -2.11988
-1.75866        -2.26114
-1.8685        -2.40236
-1.97829        -2.54351
-2.08801        -2.68459
-2.19767        -2.82557
-2.30731        -2.96654
-2.417        -3.10757
-2.52671        -3.24863
-2.63643        -3.38969
-2.74614        -3.53075
